Date,Open,High,Low,Close,Shares Traded ,Turnover (₹ Cr)
01-Feb-23,29885.95,30083.4,29659,30018.25,17621046,2857.09
02-Feb-23,30124.9,30610.1,30107.1,30566.75,23854152,3849.87
03-Feb-23,30839.05,30849.6,30417.9,30597.6,19988311,3224.28
06-Feb-23,30502.9,30534.7,30186.7,30411.1,14207946,2281.72
07-Feb-23,30429.75,30544.1,30250.75,30310.7,13675065,2069.17
08-Feb-23,30415.6,30938.4,30415.6,30774.05,21878372,3655.07
09-Feb-23,30769.8,31012.95,30665.45,30990.8,15936544,2763.97
10-Feb-23,30839.25,30900.15,30636.4,30870.2,13827857,2156.11
13-Feb-23,30790.2,30792.85,30238.05,30289.65,20440639,5234.12
14-Feb-23,30481.5,30759.45,30457.4,30588.75,16946938,2790.12
15-Feb-23,30512,30959.3,30324.2,30934.35,17291570,2629.52
16-Feb-23,31042.3,31587.35,31024.15,31434.85,32193911,4875.14
17-Feb-23,31147.1,31218.25,30963.05,31054.85,15798873,2431.72
20-Feb-23,31056.05,31405.3,30961.95,31222.35,15922955,2822.01
21-Feb-23,31318.35,31393,30911.05,30947.25,13376367,2227.89
22-Feb-23,30621.1,30815.9,30503.35,30608.2,14861595,2347.71
23-Feb-23,30759.6,30899.4,30497.55,30598.35,15708075,2601.27
24-Feb-23,30732.45,30859.7,30445.9,30514.9,11334522,1844.27
27-Feb-23,30338.7,30345.5,29667.1,29919.2,15675968,2602.45
28-Feb-23,29986.2,30294.45,29608.95,29663.95,46224987,6529.15
01-Mar-23,29722.15,30121.65,29712.8,30097.75,14064343,2335.39
02-Mar-23,29883.1,29936.4,29618.6,29717.45,15778513,2450.77
03-Mar-23,29968.75,29988.55,29774.05,29817.05,14847925,2258.81
06-Mar-23,30048.7,30340.95,30032.05,30179.75,18992841,2850.11
08-Mar-23,29944.2,30096.7,29729.25,30065.7,14977044,2351.66
09-Mar-23,30090.25,30096.6,29712,29742.3,14009458,2185.85
10-Mar-23,29418.6,29584.45,29324,29545.5,11299706,1888.43
13-Mar-23,29695,30051.6,29187.1,29267,31228396,4361.96
14-Mar-23,29281.25,29402.25,28638.9,28784.7,25456296,4111.87
15-Mar-23,29080.35,29179.5,28689.4,28716.5,19125796,2893.94
16-Mar-23,28694.3,28746.35,28400.35,28517.25,18818507,2811.52
17-Mar-23,28737.7,29120.75,28721.1,28854.45,31796160,5723.28
20-Mar-23,28732.85,28744.3,28209.05,28442.95,22355426,3243.36
21-Mar-23,28455.65,28552,28124.25,28164.85,21587819,3137.06
22-Mar-23,28375.9,28549,28148.4,28217.6,17145907,2554.69
23-Mar-23,28065.8,28116.45,27843.25,27999.25,19331444,2694.31
24-Mar-23,28208.35,28453.85,27869.5,27935.65,19376461,2800.19
27-Mar-23,27985.65,28193.6,27818.25,27948.7,13384843,2028.75
28-Mar-23,27998.3,28090.75,27674.7,27702.75,19021218,2563.88
29-Mar-23,27777.95,28113.95,27639.65,28011.3,23466657,3422.42
31-Mar-23,28379.75,28741.6,28277,28698.6,22629058,3466.72
03-Apr-23,28841.6,28841.6,28449.25,28633,13105825,2091.53
05-Apr-23,28520,29032.65,28506.7,28977.2,21530945,3695.71
06-Apr-23,28876.2,29004.8,28666,28764.55,16880663,2537.08
10-Apr-23,28810.85,29086.4,28739.4,29041.6,12647190,2075.53
11-Apr-23,29051.75,29095.45,28530.5,28675.75,17749294,2707.43
12-Apr-23,28773.4,29031.05,28578.1,28980.3,16265815,2584.81
13-Apr-23,28713.65,28736.7,28230,28342.8,27377930,4708.47
17-Apr-23,27059.15,27076.15,26184.45,27008.2,84857287,11929.64
18-Apr-23,27189.4,27189.4,26851.7,27166.95,28086323,4180
19-Apr-23,27174.6,27193.1,26640.2,26687.45,26863377,4045.83
20-Apr-23,26694.1,26868.9,26597.95,26637.15,19802621,3157.23
21-Apr-23,26701.7,26835.7,26602.8,26822.1,26954868,3592.02
24-Apr-23,26910.7,27034.9,26721.5,27013.65,24391362,2915.23
25-Apr-23,27028.8,27082.1,26820.7,26985.8,18035026,2739.95
26-Apr-23,27007.55,27158.75,26977.55,27065,16621507,2598.91
27-Apr-23,27079,27378.1,27024.15,27355.25,24421032,4142.35
28-Apr-23,27401.95,27743,27388.8,27708.2,38951671,5105.4
02-May-23,27792.7,28154.1,27756,28025,26046321,3995.51
03-May-23,27872.4,27883.45,27693.3,27743.75,16125748,2667.43
04-May-23,27716.55,27912.5,27685.55,27883.2,14057238,2164.6
